COUNTRY;FECHA;CONTAGIADOS;FALLECIDOS;RECUPERADOS;HOSPITALIZADOS;UCIs;;
PERU;20/03/2020;29;2;1;28;5;;
PERU;21/03/2020;55;1;1;;;;
PERU;22/03/2020;45;0;1;31;5;;
PERU;23/03/2020;32;0;1;10;7;;
PERU;24/03/2020;21;2;1;23;9;;
PERU;25/03/2020;64;2;1;38;12;;
PERU;26/03/2020;100;0;14;58;13;;
PERU;27/03/2020;55;2;14;79;19;;
PERU;28/03/2020;36;5;16;84;30;;
PERU;29/03/2020;181;2;16;107;37;;
PERU;30/03/2020;98;6;53;238;37;;
PERU;31/03/2020;115;6;394;190;57;;
PERU;01/04/2020;258;17;447;198;56;;
PERU;02/04/2020;91;8;537;189;51;;
PERU;03/04/2020;181;6;627;;;;
PERU;04/04/2020;151;0;914;285;88;;
PERU;05/04/2020;535;22;989;321;81;;
PARAGUAY;07/03/2020;1;0;0;0;0;;
PARAGUAY;08/03/2020;0;0;0;0;0;;
PARAGUAY;09/03/2020;0;0;0;0;0;;
PARAGUAY;10/03/2020;4;0;0;0;0;;
PARAGUAY;11/03/2020;0;0;0;0;0;;
PARAGUAY;12/03/2020;1;0;0;0;0;;
PARAGUAY;13/03/2020;1;0;0;0;0;;
PARAGUAY;14/03/2020;0;0;0;0;0;;
PARAGUAY;15/03/2020;1;0;0;0;0;;
PARAGUAY;16/03/2020;1;0;0;0;0;;
PARAGUAY;17/03/2020;2;0;0;0;0;;
PARAGUAY;18/03/2020;0;0;0;0;0;;
PARAGUAY;19/03/2020;2;0;0;0;0;;
PARAGUAY;20/03/2020;5;1;0;0;0;;
PARAGUAY;21/03/2020;4;0;0;2;0;;
PARAGUAY;22/03/2020;0;0;0;0;0;;
PARAGUAY;23/03/2020;5;1;0;0;0;;
PARAGUAY;24/03/2020;10;1;0;0;0;;
PARAGUAY;25/03/2020;4;0;0;2;0;;
PARAGUAY;26/03/2020;11;0;1;0;0;;
PARAGUAY;27/03/2020;4;0;0;0;0;;
PARAGUAY;28/03/2020;3;0;0;0;0;;
PARAGUAY;29/03/2020;5;0;0;0;0;;
PARAGUAY;30/03/2020;1;0;0;0;0;;
PARAGUAY;31/03/2020;4;0;0;0;0;;
PARAGUAY;01/04/2020;8;0;1;1;0;;
PARAGUAY;02/04/2020;15;0;1;0;0;;
PARAGUAY;03/04/2020;4;0;9;0;0;;
PARAGUAY;04/04/2020;8;0;0;3;2;;
PARAGUAY;05/04/2020;9;2;0;0;0;;
PARAGUAY;06/04/2020;2;0;3;0;1;;
BRAZIL;26/02/2020;1;0;;;;;
BRAZIL;27/02/2020;0;0;;;;;
BRAZIL;28/02/2020;0;0;;;;;
BRAZIL;29/02/2020;0;0;;;;;
BRAZIL;01/03/2020;0;0;;;;;
BRAZIL;02/03/2020;0;0;;;;;
BRAZIL;03/03/2020;1;0;;;;;
BRAZIL;04/03/2020;0;0;;;;;
BRAZIL;05/03/2020;4;0;;;;;
BRAZIL;06/03/2020;1;0;;;;;
BRAZIL;07/03/2020;11;0;;;;;
BRAZIL;08/03/2020;0;0;;;;;
BRAZIL;09/03/2020;6;0;;;;;
BRAZIL;10/03/2020;0;0;;;;;
BRAZIL;11/03/2020;9;0;;;;;
BRAZIL;12/03/2020;18;0;;;;;
BRAZIL;13/03/2020;46;0;;;;;
BRAZIL;14/03/2020;23;0;;;;;
BRAZIL;15/03/2020;0;0;;;;;
BRAZIL;16/03/2020;79;0;;;;;
BRAZIL;17/03/2020;34;0;;;;;
BRAZIL;18/03/2020;57;1;;;;;
BRAZIL;19/03/2020;137;3;;;;;
BRAZIL;20/03/2020;193;0;;;;;
BRAZIL;21/03/2020;283;7;;;;;
BRAZIL;22/03/2020;0;0;;;;;
BRAZIL;23/03/2020;0;0;;;;;
BRAZIL;24/03/2020;1297;35;;;;;
BRAZIL;25/03/2020;0;0;;;;;
PUERTORICO;13/03/2020;3;0;;;;;
PUERTORICO;14/03/2020;0;0;;;;;
PUERTORICO;15/03/2020;2;0;;;;;
PUERTORICO;16/03/2020;0;0;;;;;
PUERTORICO;17/03/2020;0;0;;;;;
PUERTORICO;18/03/2020;0;0;;;;;
PUERTORICO;19/03/2020;1;0;;;;;
PUERTORICO;20/03/2020;8;0;;;;;
PUERTORICO;21/03/2020;7;1;;;;;
PUERTORICO;22/03/2020;2;0;;;;;
PUERTORICO;23/03/2020;8;1;;;;;
PUERTORICO;24/03/2020;8;0;;;;;
PUERTORICO;25/03/2020;12;0;;;;;
PUERTORICO;26/03/2020;13;0;;;;;
PUERTORICO;27/03/2020;15;1;;;;;
PUERTORICO;28/03/2020;21;2;;;;;
PUERTORICO;29/03/2020;27;0;;;;;
PUERTORICO;30/03/2020;47;1;;;;;
PUERTORICO;31/03/2020;65;2;;;;;
PUERTORICO;01/04/2020;47;3;;;;;
PUERTORICO;02/04/2020;30;1;;;;;
PUERTORICO;03/04/2020;62;3;;;;;
PUERTORICO;04/04/2020;74;3;;;;;
PUERTORICO;05/04/2020;23;2;;;;;
PUERTORICO;06/04/2020;38;1;;;;;
PUERTORICO;07/04/2020;60;2;;;;;
PUERTORICO;08/04/2020;47;1;;;;;
PUERTORICO;09/04/2020;63;9;;;;;
PUERTORICO;10/04/2020;42;6;;;;;
PUERTORICO;11/04/2020;63;3;;;;;
PUERTORICO;12/04/2020;109;2;;;;;
URUGUAY;13/03/2020;4;0;0;;;;
URUGUAY;14/03/2020;2;0;0;;;;
URUGUAY;15/03/2020;2;0;0;;;;
URUGUAY;16/03/2020;21;0;0;;;;
URUGUAY;17/03/2020;21;0;0;;;;
URUGUAY;18/03/2020;29;0;2;;;;
URUGUAY;19/03/2020;15;0;.;;;;
URUGUAY;20/03/2020;16;0;.;;;;
URUGUAY;21/03/2020;25;0;.;;;;
URUGUAY;22/03/2020;23;0;.;;;;
URUGUAY;23/03/2020;4;0;.;;;;
URUGUAY;24/03/2020;27;0;.;;;;
URUGUAY;25/03/2020;28;0;.;;;;
URUGUAY;26/03/2020;21;0;.;;;;
URUGUAY;27/03/2020;36;0;.;;;;
URUGUAY;28/03/2020;30;1;.;;;;
URUGUAY;29/03/2020;6;0;.;;;;
URUGUAY;30/03/2020;10;0;.;;;;
URUGUAY;31/03/2020;18;0;.;;;;
URUGUAY;01/04/2020;12;1;21;;;;
URUGUAY;02/04/2020;19;2;6;;;;
URUGUAY;03/04/2020;17;0;18;;;;
URUGUAY;04/04/2020;14;1;7;;;;
URUGUAY;05/04/2020;6;1;11;;;;
URUGUAY;06/04/2020;9;0;19;;;;
URUGUAY;07/04/2020;9;1;27;;;;
URUGUAY;08/04/2020;32;0;42;;;;
URUGUAY;09/04/2020;17;0;14;;;;
URUGUAY;10/04/2020;21;0;8;;;;
URUGUAY;11/04/2020;7;0;10;;;;
URUGUAY;12/04/2020;11;7;7;;;;
PANAMA;09/03/2020;1;0;0;;;;
PANAMA;10/03/2020;7;0;0;;;;
PANAMA;11/03/2020;6;0;0;;;;
PANAMA;12/03/2020;13;0;0;;;;
PANAMA;13/03/2020;9;0;0;;;;
PANAMA;14/03/2020;7;0;0;;;;
PANAMA;15/03/2020;12;0;0;;;;
PANAMA;16/03/2020;14;0;0;;;;
PANAMA;17/03/2020;17;0;0;;;;
PANAMA;18/03/2020;23;0;0;;;;
PANAMA;19/03/2020;28;0;0;;;;
PANAMA;20/03/2020;63;0;0;;;;
PANAMA;21/03/2020;45;2;0;;;;
PANAMA;22/03/2020;68;0;0;;;;
PANAMA;23/03/2020;32;2;0;;;;
PANAMA;24/03/2020;98;2;0;;;;
PANAMA;25/03/2020;115;0;0;;;;
PANAMA;26/03/2020;116;1;0;;;;
PANAMA;27/03/2020;112;2;2;;;;
PANAMA;28/03/2020;115;0;2;;;;
PANAMA;29/03/2020;88;-2;0;;;;
PANAMA;30/03/2020;86;5;5;;;;
PANAMA;31/03/2020;106;-5;0;;;;
PANAMA;01/04/2020;136;0;0;;;;
PANAMA;02/04/2020;158;1;1;;;;
PANAMA;03/04/2020;198;2;3;;;;
PANAMA;04/04/2020;128;-3;0;;;;
PANAMA;05/04/2020;187;0;0;;;;
PANAMA;06/04/2020;112;1;1;;;;
PANAMA;07/04/2020;149;4;2;;;;
PANAMA;08/04/2020;135;4;0;;;;
MEXICO;28/02/2020;3;0;0;;;;
MEXICO;29/02/2020;1;0;0;;;;
MEXICO;01/03/2020;1;0;0;;;;
MEXICO;02/03/2020;0;0;0;;;;
MEXICO;03/03/2020;0;0;0;;;;
MEXICO;04/03/2020;0;0;0;;;;
MEXICO;05/03/2020;0;0;0;;;;
MEXICO;06/03/2020;1;0;0;;;;
MEXICO;07/03/2020;1;0;0;;;;
MEXICO;08/03/2020;0;0;0;;;;
MEXICO;09/03/2020;0;0;0;;;;
MEXICO;10/03/2020;1;0;0;;;;
MEXICO;11/03/2020;3;0;0;;;;
MEXICO;12/03/2020;4;0;0;;;;
MEXICO;13/03/2020;11;0;0;;;;
MEXICO;14/03/2020;15;0;0;;;;
MEXICO;15/03/2020;12;0;0;;;;
MEXICO;16/03/2020;29;0;0;;;;
MEXICO;17/03/2020;11;0;0;;;;
MEXICO;18/03/2020;25;0;0;;;;
MEXICO;19/03/2020;46;0;3;;;;
MEXICO;20/03/2020;39;2;0;;;;
MEXICO;21/03/2020;48;0;0;;;;
MEXICO;22/03/2020;65;0;0;;;;
MEXICO;23/03/2020;51;2;;;;;
MEXICO;24/03/2020;38;1;;;;;
MEXICO;25/03/2020;70;1;;;;;
MEXICO;26/03/2020;110;2;;;;;
MEXICO;27/03/2020;132;4;;;;;
GUATEMALA;13/03/2020;1;0;0;;;;
GUATEMALA;14/03/2020;1;0;0;;;;
GUATEMALA;15/03/2020;1;1;0;;;;
GUATEMALA;16/03/2020;3;0;0;;;;
GUATEMALA;17/03/2020;3;0;0;;;;
GUATEMALA;18/03/2020;2;0;0;;;;
GUATEMALA;19/03/2020;1;0;0;;;;
GUATEMALA;20/03/2020;4;0;0;;;;
GUATEMALA;21/03/2020;4;0;0;;;;
GUATEMALA;22/03/2020;2;0;0;;;;
GUATEMALA;23/03/2020;2;0;0;;;;
GUATEMALA;24/03/2020;0;0;0;;;;
GUATEMALA;25/03/2020;3;0;4;;;;
GUATEMALA;26/03/2020;1;0;1;;;;
GUATEMALA;27/03/2020;3;0;0;;;;
GUATEMALA;28/03/2020;6;0;5;;;;
GUATEMALA;29/03/2020;2;0;0;;;;
GUATEMALA;30/03/2020;0;0;0;;;;
GUATEMALA;31/03/2020;3;0;2;;;;
GUATEMALA;01/04/2020;7;0;0;;;;
GUATEMALA;02/04/2020;1;0;0;;;;
GUATEMALA;03/04/2020;3;0;0;;;;
GUATEMALA;04/04/2020;11;1;3;;;;
GUATEMALA;05/04/2020;9;1;0;;;;
GUATEMALA;06/04/2020;4;0;2;;;;
GUATEMALA;07/04/2020;3;0;0;;;;
GUATEMALA;08/04/2020;7;0;0;;;;
GUATEMALA;09/04/2020;39;0;0;;;;
GUATEMALA;10/04/2020;11;0;2;;;;
GUATEMALA;11/04/2020;16;0;0;;;;
GUATEMALA;12/04/2020;3;2;0;;;;
ELSALVADOR;18/03/2020;1;0;0;;;;
ELSALVADOR;19/03/2020;0;0;0;;;;
ELSALVADOR;20/03/2020;2;0;0;;;;
ELSALVADOR;21/03/2020;0;0;0;;;;
ELSALVADOR;22/03/2020;0;0;0;;;;
ELSALVADOR;23/03/2020;2;0;0;;;;
ELSALVADOR;24/03/2020;4;0;0;;;;
ELSALVADOR;25/03/2020;4;0;0;;;;
ELSALVADOR;26/03/2020;0;0;0;;;;
ELSALVADOR;27/03/2020;6;0;0;;;;
ELSALVADOR;28/03/2020;5;0;0;;;;
ELSALVADOR;29/03/2020;6;0;0;;;;
ELSALVADOR;30/03/2020;2;0;0;;;;
ELSALVADOR;31/03/2020;0;1;0;;;;
ELSALVADOR;01/04/2020;9;1;0;;;;
ELSALVADOR;02/04/2020;5;0;0;;;;
ELSALVADOR;03/04/2020;10;1;0;;;;
ELSALVADOR;04/04/2020;6;0;0;;;;
ELSALVADOR;05/04/2020;7;0;0;;;;
ELSALVADOR;06/04/2020;9;1;3;;;;
ELSALVADOR;07/04/2020;15;1;0;;;;
ELSALVADOR;08/04/2020;10;0;5;;;;
ELSALVADOR;09/04/2020;14;1;5;;;;
ELSALVADOR;10/04/2020;1;0;4;;;;
ELSALVADOR;11/04/2020;7;0;0;;;;
ELSALVADOR;12/04/2020;12;0;2;;;;
ELSALVADOR;13/04/2020;12;0;4;;;;
ELSALVADOR;14/04/2020;10;0;5;;;;
ELSALVADOR;15/04/2020;5;0;3;;;;
ELSALVADOR;16/04/2020;13;1;5;;;;
ELSALVADOR;17/04/2020;13;0;5;;;;
BOLIVIA;08/03/2020;1;0;0;;;;
BOLIVIA;09/03/2020;1;0;0;;;;
BOLIVIA;10/03/2020;5;0;0;;;;
BOLIVIA;11/03/2020;3;0;0;;;;
BOLIVIA;12/03/2020;0;0;0;;;;
BOLIVIA;13/03/2020;2;0;0;;;;
BOLIVIA;14/03/2020;0;0;0;;;;
BOLIVIA;15/03/2020;1;0;0;;;;
BOLIVIA;16/03/2020;1;0;0;;;;
BOLIVIA;17/03/2020;1;0;0;;;;
BOLIVIA;18/03/2020;3;0;0;;;;
BOLIVIA;19/03/2020;2;0;0;;;;
BOLIVIA;20/03/2020;7;0;0;;;;
BOLIVIA;21/03/2020;3;0;0;;;;
BOLIVIA;22/03/2020;0;0;0;;;;
BOLIVIA;23/03/2020;1;0;0;;;;
BOLIVIA;24/03/2020;1;0;0;;;;
BOLIVIA;25/03/2020;7;0;0;;;;
BOLIVIA;26/03/2020;22;0;0;;;;
BOLIVIA;27/03/2020;13;0;0;;;;
BOLIVIA;28/03/2020;7;0;0;;;;
BOLIVIA;29/03/2020;7;3;0;;;;
BOLIVIA;30/03/2020;11;0;0;;;;
BOLIVIA;31/03/2020;8;0;0;;;;
BOLIVIA;01/04/2020;8;0;1;;;;
BOLIVIA;02/04/2020;9;0;1;;;;
BOLIVIA;03/04/2020;7;0;1;;;;
BOLIVIA;04/04/2020;18;0;0;;;;
BOLIVIA;05/04/2020;26;1;0;;;;
BOLIVIA;06/04/2020;11;3;0;;;;
BOLIVIA;07/04/2020;16;0;0;;;;
CHILE;03/03/2020;1;0;0;;;;
CHILE;04/03/2020;2;0;0;;;;
CHILE;05/03/2020;1;0;0;;;;
CHILE;06/03/2020;1;0;0;;;;
CHILE;07/03/2020;2;0;0;;;;
CHILE;08/03/2020;3;0;0;;;;
CHILE;09/03/2020;3;0;0;;;;
CHILE;10/03/2020;4;0;0;;;;
CHILE;11/03/2020;5;0;0;;;;
CHILE;12/03/2020;10;0;0;;;;
CHILE;13/03/2020;11;0;0;;;;
CHILE;14/03/2020;18;0;0;;;;
CHILE;15/03/2020;14;0;0;;;;
CHILE;16/03/2020;80;0;0;;;;
CHILE;17/03/2020;46;0;1;;;;
CHILE;18/03/2020;65;0;3;;;;
CHILE;19/03/2020;76;0;5;;;;
CHILE;20/03/2020;92;0;6;;;;
CHILE;21/03/2020;103;1;8;;;;
CHILE;22/03/2020;95;0;8;;;;
CHILE;23/03/2020;290;1;-20;;;;
CHILE;24/03/2020;90;0;6;;;;
CHILE;25/03/2020;294;1;5;;;;
CHILE;26/03/2020;304;1;11;;;;
CHILE;27/03/2020;299;1;10;;;;
CHILE;28/03/2020;230;1;18;;;;
CHILE;29/03/2020;310;1;14;;;;
CHILE;30/03/2020;289;1;81;;;;
CHILE;31/03/2020;;0;0;;;;
CHILE;01/04/2020;293;4;78;;;;
CHILE;02/04/2020;373;4;101;;;;
ECUADOR;29/02/2020;1;0;;;;;
ECUADOR;01/03/2020;5;0;;;;;
ECUADOR;02/03/2020;1;0;;;;;
ECUADOR;03/03/2020;0;0;;;;;
ECUADOR;04/03/2020;3;0;;;;;
ECUADOR;05/03/2020;3;0;;;;;
ECUADOR;06/03/2020;1;0;;;;;
ECUADOR;07/03/2020;0;0;;;;;
ECUADOR;08/03/2020;1;0;;;;;
ECUADOR;09/03/2020;0;0;;;;;
ECUADOR;10/03/2020;2;0;;;;;
ECUADOR;11/03/2020;0;0;;;;;
ECUADOR;12/03/2020;2;0;;;;;
ECUADOR;13/03/2020;4;1;;;;;
ECUADOR;14/03/2020;5;1;;;;;
ECUADOR;15/03/2020;9;0;;;;;
ECUADOR;16/03/2020;21;0;;;;;
ECUADOR;17/03/2020;53;0;;;;;
ECUADOR;18/03/2020;57;1;;;;;
ECUADOR;19/03/2020;92;1;3;;;;
ECUADOR;20/03/2020;166;3;0;;;;
ECUADOR;21/03/2020;106;0;0;;;;
ECUADOR;22/03/2020;257;7;0;;;;
ECUADOR;23/03/2020;192;4;0;;;;
ECUADOR;24/03/2020;101;9;0;;;;
ECUADOR;25/03/2020;129;2;0;;;;
ECUADOR;26/03/2020;192;5;0;;;;
ECUADOR;27/03/2020;224;7;0;;;;
ECUADOR;28/03/2020;208;7;0;;;;
COLOMBIA;06/03/2020;1;;;;;;
COLOMBIA;07/03/2020;0;;;;;;
COLOMBIA;08/03/2020;0;;;;;;
COLOMBIA;09/03/2020;2;;;;;;
COLOMBIA;10/03/2020;0;;;;;;
COLOMBIA;11/03/2020;6;;;;;;
COLOMBIA;12/03/2020;0;;;;;;
COLOMBIA;13/03/2020;7;;;;;;
COLOMBIA;14/03/2020;7;;;;;;
COLOMBIA;15/03/2020;11;;;;;;
COLOMBIA;16/03/2020;23;;;;;;
COLOMBIA;17/03/2020;18;;;;;;
COLOMBIA;18/03/2020;27;;;;;;
COLOMBIA;19/03/2020;26;;;;;;
COLOMBIA;20/03/2020;30;;;;;;
COLOMBIA;21/03/2020;52;1;3;;;;
COLOMBIA;22/03/2020;25;1;0;;;;
COLOMBIA;23/03/2020;71;1;3;;;;
COLOMBIA;24/03/2020;72;0;0;;;;
COLOMBIA;25/03/2020;92;1;2;;;;
COLOMBIA;26/03/2020;21;2;0;;;;
COLOMBIA;27/03/2020;48;0;2;;;;
COLOMBIA;28/03/2020;69;0;0;;;;
COLOMBIA;29/03/2020;94;4;0;;;;
COLOMBIA;30/03/2020;96;4;5;;;;
COLOMBIA;31/03/2020;108;2;16;;;;
COLOMBIA;01/04/2020;159;1;8;;;;
COLOMBIA;02/04/2020;96;2;16;;;;
COLOMBIA;03/04/2020;106;6;0;;;;
COLOMBIA;04/04/2020;139;7;30;;;;
COLOMBIA;05/04/2020;79;3;0;;;;
NETHERLAND;09/03/2020;56;3;;;;;
NETHERLAND;10/03/2020;61;1;;;;;
NETHERLAND;11/03/2020;121;1;;;;;
NETHERLAND;12/03/2020;111;;;86;;;
NETHERLAND;13/03/2020;190;5;;115;;;
NETHERLAND;14/03/2020;155;2;;136;;;
NETHERLAND;15/03/2020;176;8;;162;;;
NETHERLAND;16/03/2020;278;4;;202;;;
NETHERLAND;17/03/2020;292;19;;;;;
NETHERLAND;18/03/2020;346;15;;;;;
NETHERLAND;19/03/2020;409;18;;;;;
NETHERLAND;20/03/2020;534;30;;;;;
NETHERLAND;21/03/2020;637;30;;;;;
NETHERLAND;22/03/2020;573;43;;;;;
NETHERLAND;23/03/2020;545;34;;;;;
NETHERLAND;24/03/2020;811;63;;;;;
NETHERLAND;25/03/2020;852;80;;341;2467;;
NETHERLAND;26/03/2020;1019;78;;315;;;
NETHERLAND;27/03/2020;1172;112;;349;100;;
NETHERLAND;28/03/2020;1159;93;;454;100;;
NETHERLAND;29/03/2020;1104;132;;529;100;;
NETHERLAND;30/03/2020;884;93;;507;100;;
NETHERLAND;31/03/2020;845;175;;722;;;
NETHERLAND;01/04/2020;1019;134;;447;;;
NETHERLAND;02/04/2020;1083;166;;625;;;
NETHERLAND;03/04/2020;1026;148;;502;;;
NETHERLAND;04/04/2020;904;164;;336;;;
NETHERLAND;05/04/2020;1224;115;;253;;;
NETHERLAND;06/04/2020;952;101;;260;;;
NETHERLAND;07/04/2020;777;234;;292;;;
NETHERLAND;08/04/2020;969;147;;308;;;
NETHERLAND;09/04/2020;;148;;237;;;
NETHERLAND;10/04/2020;;115;;225;;;
NETHERLAND;11/04/2020;1309;132;;189;;;
NETHERLAND;12/04/2020;;94;;196;;;
NETHERLAND;13/04/2020;;86;;147;;;
NETHERLAND;14/04/2020;868;122;;210;;;
NETHERLAND;15/04/2020;734;189;;188;;;
NETHERLAND;16/04/2020;1061;181;;182;;;
NETHERLAND;17/04/2020;1235;144;;156;;;
NETHERLAND;18/04/2020;1140;142;250;129;1200;;
NETHERLAND;19/04/2020;750;67;322;75;;;
NETHERLAND;20/04/2020;729;165;74;118;;;
NETHERLAND;21/04/2020;;165;;118;;;
NETHERLAND;22/04/2020;708;138;;124;;;
NETHERLAND;23/04/2020;887;123;;137;;;
NETHERLAND;24/04/2020;806;112;102;123;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
